codigo,nombre,Saldo,tipo,vida_util,depreciacion_acumulada
1,Activo,0.00,No es activo fijo,0,0.00
1.1,Activo Corriente (<= 1 año),0.00,No es activo fijo,0,0.00
1.1.1,Efectivo y equivalentes al efectivo,10000.00,No es activo fijo,0,0.00
1.1.1.1,caja,5000.00,No es activo fijo,0,0.00
1.1.1.2,caja chica,2000.00,No es activo fijo,0,0.00
1.1.1.3,Bancos (es algo que la empresa puede utilizar),3000.00,No es activo fijo,0,0.00
1.1.1.4,Depósitos a plazo (a 3 meses),4000.00,No es activo fijo,0,0.00
1.1.1.5,Inversiones en bonos (a 3 meses),5000.00,No es activo fijo,0,0.00
1.1.2,Inversiones,0.00,No es activo fijo,0,0.00
1.1.2.1,Inversiones en bono (<= 1 año),6000.00,No es activo fijo,0,0.00
1.1.2.2,Depósitos a plazo (a 12 meses),7000.00,No es activo fijo,0,0.00
1.1.3,Cuentas y documentos por cobrar,0.00,No es activo fijo,0,0.00
1.1.3.1,Clientes,8000.00,No es activo fijo,0,0.00
1.1.3.2,Deudores varios,9000.00,No es activo fijo,0,0.00
1.1.3.3,Funcionarios y empleados,1000.00,No es activo fijo,0,0.00
1.1.3.4,Intereses por cobrar,2000.00,No es activo fijo,0,0.00
1.1.3.5,Impuestos diferidos por cobrar,3000.00,No es activo fijo,0,0.00
1.1.3.6,Rentas por cobrar,4000.00,No es activo fijo,0,0.00
1.1.3.7,Impuestos por cobrar,5000.00,No es activo fijo,0,0.00
1.1.3.8,Dividendos por cobrar,6000.00,No es activo fijo,0,0.00
1.1.3.9,Documentos por cobrar (<= 1 año),7000.00,No es activo fijo,0,0.00
1.1.4,Inventarios,0.00,No es activo fijo,0,0.00
1.1.4.1,Empresas comerciales y de servicios,0.00,No es activo fijo,0,0.00
1.1.4.1.1,Inventario (Almacen) (compra para vender),8000.00,No es activo fijo,0,0.00
1.1.4.2,Empresas Industriales o manufactureras,0.00,No es activo fijo,0,0.00
1.1.4.2.1,Inventario de materia prima,9000.00,No es activo fijo,0,0.00
1.1.4.2.2,Inventario de productos en proceso,10000.00,No es activo fijo,0,0.00
1.1.4.2.3,Inventario de productos terminados,11000.00,No es activo fijo,0,0.00
1.1.5,Pagos Anticipados,0.00,No es activo fijo,0,0.00
1.1.5.1,Papeleria y utiles,12000.00,No es activo fijo,0,0.00
1.1.5.2,Material de empaque,13000.00,No es activo fijo,0,0.00
1.1.5.3,Material de aseo,14000.00,No es activo fijo,0,0.00
1.1.5.4,Propaganda y publicidad,15000.00,No es activo fijo,0,0.00
1.1.5.5,Anticipos a proveedores,16000.00,No es activo fijo,0,0.00
1.1.5.6,Rentas pagadas por anticipado,17000.00,No es activo fijo,0,0.00
1.1.5.7,Suscripciones pagadas por anticipado,18000.00,No es activo fijo,0,0.00
1.1.5.8,Intereses pagados por anticipado,19000.00,No es activo fijo,0,0.00
1.1.5.9,Impuestos pagados por anticipado,20000.00,No es activo fijo,0,0.00
1.2,Activo No Corriente (> 1 año),0.00,No es activo fijo,0,0.00
1.2.1,Inversiones y valores,0.00,No es activo fijo,0,0.00
1.2.1.1,Inversiones en bono,21000.00,Activo fijo,10,2100.00
1.2.1.2,Inversiones en acciones,22000.00,Activo fijo,5,4400.00
1.2.1.3,Inversiones en negocios conjuntos,23000.00,Activo fijo,7,3285.71
1.2.1.4,Depositos a plazo (Vencimiento > 12 meses),24000.00,Activo fijo,8,3000.00
1.2.2,Propiedad planta y equipo,0.00,No es activo fijo,0,0.00
1.2.2.1,Terrenos (para uso de la empresa),25000.00,Activo fijo,0,0.00
1.2.2.2,Edificios (Propiedad de la empresa),26000.00,Activo fijo,20,1300.00
1.2.2.3,Maquinaria,27000.00,Activo fijo,10,2700.00
1.2.2.4,Mobiliario y equipo,28000.00,Activo fijo,5,5600.00
1.2.2.5,Vehículos,29000.00,Activo fijo,5,5800.00
1.2.2.6,Equipo de transporte,30000.00,Activo fijo,5,6000.00
1.2.2.7,Equipo de reparto,31000.00,Activo fijo,5,6200.00
1.2.2.8,Herramientas,32000.00,Activo fijo,5,6400.00
1.2.3,Intangibles,0.00,No es activo fijo,0,0.00
1.2.3.1,Plusvalía (Crédito mercantil),33000.00,Activo fijo,10,3300.00
1.2.3.2,Derechos de autor,34000.00,Activo fijo,5,6800.00
1.2.3.3,Marcas y patentes,35000.00,Activo fijo,10,3500.00
1.2.3.4,Licencias,36000.00,Activo fijo,5,7200.00
1.2.3.5,Programas informáticos,37000.00,Activo fijo,3,12333.33
1.2.4,Propiedades de inversión,0.00,No es activo fijo,0,0.00
1.2.4.1,Terrenos (los alquila o los tiene a la venta),38000.00,Activo fijo,0,0.00
1.2.4.2,Edificios (los alquila o los tiene a la venta),39000.00,Activo fijo,20,1950.00
1.2.5,Otros activos,0.00,No es activo fijo,0,0.00
1.2.5.1,Bancos (Cuenta congelada),40000.00,No es activo fijo,0,0.00
1.2.5.2,Documentos por cobrar (a largo plazo >1 año),41000.00,No es activo fijo,0,0.00
1.2.5.3,Depósitos en garantía,42000.00,No es activo fijo,0,0.00
2,Pasivo,0.00,No es activo fijo,0,0.00
2.1,Pasivo corriente,0.00,No es activo fijo,0,0.00
2.1.1,Cuentas y documentos por pagar,0.00,No es activo fijo,0,0.00
2.1.1.1,Proveedores (Acreedores comerciales),43000.00,No es activo fijo,0,0.00
2.1.1.2,Sueldos y salarios por pagar (Corto plazo),44000.00,No es activo fijo,0,0.00
2.1.1.3,Impuestos por pagar (Corto plazo),45000.00,No es activo fijo,0,0.00
2.1.1.4,Intereses por pagar (Corto plazo),46000.00,No es activo fijo,0,0.00
